Gene	sgRNA	Comparison_1|beta	Comparison_1|z	Comparison_1|p-value	Comparison_1|fdr	Comparison_1|wald-p-value	Comparison_1|wald-fdr	Comparison_2|beta	Comparison_2|z	Comparison_2|p-value	Comparison_2|fdr	Comparison_2|wald-p-value	Comparison_2|wald-fdr	Comparison_3|beta	Comparison_3|z	Comparison_3|p-value	Comparison_3|fdr	Comparison_3|wald-p-value	Comparison_3|wald-fdr
CACNB3	10	-0.067598	-0.48298	0.30047	0.60103	0.62911	0.99951	-0.058699	-0.41956	0.40981	0.65565	0.67481	0.89884	0.1942	1.3845	0.38226	0.70728	0.1662	0.41854
CPT2	10	-0.097781	-0.99293	0.11666	0.3783	0.32074	0.99951	-0.14632	-1.4871	0.052949	0.20264	0.137	0.45947	0.043952	0.44332	0.79208	0.91754	0.65754	0.8439
WNK4	10	-0.0016206	-0.024347	0.78304	0.90959	0.98058	0.99951	-0.0010913	-0.016416	0.99656	0.99828	0.9869	0.99976	-0.17275	-2.5655	0.033577	0.23708	0.010302	0.085569
SLC16A6	10	0.012152	0.12863	0.58028	0.81475	0.89765	0.99951	0.084412	0.89407	0.20534	0.44631	0.37129	0.73713	-0.14769	-1.5547	0.056393	0.31043	0.12001	0.35131
LCN9	10	-0.06211	-0.9697	0.35644	0.65071	0.3322	0.99951	-0.092003	-1.4365	0.18984	0.42691	0.15085	0.48195	-0.023547	-0.36715	0.41627	0.73258	0.71351	0.8753
NRBP2	10	-0.085765	-0.7955	0.16703	0.44907	0.42633	0.99951	-0.029891	-0.27793	0.65992	0.82419	0.78106	0.93575	-0.080053	-0.73484	0.19759	0.54567	0.46244	0.72795
FGFR3	10	-0.13337	-1.1155	0.032286	0.1861	0.26462	0.99951	-0.11317	-0.94678	0.11408	0.31851	0.34375	0.72041	0.2148	1.795	0.30435	0.6651	0.072649	0.26831
KAT2A	10	-0.15885	-1.1599	0.009901	0.08156	0.24609	0.99951	-0.25469	-1.8603	0.00086096	0.0074349	0.06284	0.29681	-0.022709	-0.16496	0.41972	0.73328	0.86897	0.9558
UAP1	10	0.045122	0.62274	0.21438	0.50456	0.53346	0.99951	-0.021655	-0.29888	0.75161	0.87519	0.76503	0.93241	-0.11839	-1.6318	0.1003	0.40451	0.10273	0.32032
PKMYT1	10	-0.28606	-2.8919	0	0	0.0038294	0.10105	-0.44734	-4.5223	0	0	6.1179e-06	0.00013665	-0.12247	-1.2351	0.094705	0.39464	0.21678	0.48876
