Gene	sgRNA	Comparison_4|beta	Comparison_4|z	Comparison_4|p-value	Comparison_4|fdr	Comparison_4|wald-p-value	Comparison_4|wald-fdr
CACNB3	10	0.039674	0.31309	0.70771	0.9961	0.75421	0.97983
CPT2	10	0.15638	1.3922	0.11924	0.80994	0.16386	0.82859
WNK4	10	-0.0064228	-0.039769	0.92983	0.9965	0.96828	0.99869
SLC16A6	10	0.03165	0.35564	0.76582	0.9961	0.72211	0.97983
LCN9	10	-0.044792	-0.51143	0.6539	0.9961	0.60905	0.95959
NRBP2	10	-0.013364	-0.13152	0.87688	0.9961	0.89537	0.99614
FGFR3	10	0.15441	1.7053	0.12269	0.81197	0.088137	0.74663
KAT2A	10	0.069871	0.70176	0.50022	0.9961	0.48283	0.93126
UAP1	10	0.024373	0.26201	0.82652	0.9961	0.79331	0.98253
PKMYT1	10	-0.049729	-0.52808	0.62462	0.9961	0.59744	0.95942
MMAB	10	0.16514	0.89852	0.1003	0.78477	0.36891	0.91352
ALOX5	10	-0.024961	-0.28387	0.80112	0.9961	0.77651	0.97983
NISCH	10	0.17536	1.3324	0.082221	0.77642	0.18274	0.83494
SLC12A5	10	0.012263	0.21171	0.92811	0.9965	0.83233	0.99322
KAT5	10	-0.1544	-1.0789	0.14077	0.84131	0.28063	0.89179
NAGA	10	0.076209	0.93778	0.45803	0.9961	0.34836	0.9042
AGXT	10	-0.097685	-1.4033	0.35299	0.9961	0.16052	0.82859
AK4	10	0.21582	1.9328	0.035299	0.63235	0.053258	0.70695
PSPH	10	-0.0028084	-0.035564	0.9604	0.9965	0.97163	0.99869
FTCD	10	-0.026578	-0.25244	0.79079	0.9961	0.8007	0.98253
SH3KBP1	10	-0.10648	-1.4327	0.30564	0.98795	0.15196	0.82859
PRKDC	10	-0.12585	-1.2352	0.22686	0.91972	0.21677	0.86446
DGKD	10	-0.09069	-1.0216	0.38915	0.9961	0.30698	0.90162
ACAD8	10	0.21037	1.8488	0.038313	0.6338	0.064488	0.70695
EPHX2	10	-0.052902	-0.68535	0.60697	0.9961	0.49312	0.93351
CACNA1B	10	-0.055423	-0.62095	0.59019	0.9961	0.53463	0.95023
GSTO1	10	0.0052422	0.052409	0.97632	0.9965	0.9582	0.99869
BRAF	10	-0.14911	-1.3084	0.15583	0.86635	0.19074	0.84388
PSAP	10	-0.056174	-0.38855	0.58244	0.9961	0.69761	0.97862
NOXO1	10	0.023022	0.28358	0.83556	0.9961	0.77673	0.97983
GNLY	10	0.089779	0.69319	0.38356	0.9961	0.48819	0.93318
PTPMT1	10	0.014018	0.12002	0.90659	0.9965	0.90447	0.99649
HTR1D	10	-0.059893	-0.73768	0.55962	0.9961	0.46071	0.92978
PREP	10	0.11576	1.0611	0.25829	0.95305	0.28866	0.89459
SLC16A1	10	-0.079873	-0.90886	0.44727	0.9961	0.36343	0.91348
GABRG2	10	0.019125	0.29156	0.86655	0.9961	0.77062	0.97983
PLOD3	10	-0.14083	-1.5276	0.17779	0.87247	0.12662	0.8237
GZMB	10	0.0229	0.20796	0.83685	0.9961	0.83526	0.99419
DHODH	10	0.036292	0.21836	0.73181	0.9961	0.82715	0.99267
FSHR	10	0.02253	0.34378	0.83943	0.9961	0.73101	0.97983
PRKX	10	-0.062705	-0.58489	0.5424	0.9961	0.55862	0.95942
SPTLC2	10	0.15149	1.2709	0.13043	0.82561	0.20377	0.86343
KCNN4	10	-0.12923	-1.1581	0.2161	0.91577	0.24683	0.87765
TXNDC12	10	-0.053058	-0.44585	0.60568	0.9961	0.6557	0.97152
IRAK2	10	-0.10908	-1.041	0.29703	0.98166	0.29786	0.90095
ENPP1	10	0.16844	1.3063	0.093844	0.77817	0.19144	0.84388
PDE10A	10	-0.045713	-0.52815	0.65002	0.9961	0.5974	0.95942
PTPRO	10	-0.12659	-1.3754	0.226	0.91972	0.16901	0.82859
RORA	10	-0.064921	-0.8472	0.52647	0.9961	0.39688	0.92978
PPP1CC	10	0.13574	1.3877	0.1808	0.87247	0.16521	0.82859
SCARB1	10	-0.12246	-1.126	0.23762	0.93718	0.26016	0.87765
CCBL2	10	0.050254	0.42038	0.63711	0.9961	0.67421	0.97862
S100A4	10	0.011167	0.085607	0.93844	0.9965	0.93178	0.99649
DGKI	10	0.050449	0.54186	0.63582	0.9961	0.58791	0.95942
TAOK1	10	0.14149	1.8257	0.16186	0.86696	0.067894	0.71075
BAG1	10	0.040396	0.4632	0.70383	0.9961	0.64322	0.96531
CHEK2	10	0.12617	0.94893	0.21352	0.91577	0.34266	0.9042
TRAF3IP3	10	-0.023359	-0.18844	0.81145	0.9961	0.85053	0.99498
HSD17B8	10	0.0085036	0.10021	0.9548	0.9965	0.92017	0.99649
SUCLG1	10	-0.012204	-0.14564	0.88592	0.9965	0.88421	0.99498
HAL	10	-0.12776	-0.92102	0.21997	0.91577	0.35704	0.90745
GPR18	10	-0.014411	-0.17312	0.87	0.9961	0.86255	0.99498
SLC12A6	10	-0.049949	-0.58737	0.62376	0.9961	0.55695	0.95942
FLT1	10	0.0090984	0.12874	0.95222	0.9965	0.89756	0.99649
DDC	10	-0.12248	-1.7238	0.23762	0.93718	0.084751	0.7464
GLUD1	10	0.0086808	0.11669	0.95437	0.9965	0.9071	0.99649
PTPRD	10	0.02099	0.25643	0.85149	0.9961	0.79762	0.98253
PPP1R1A	10	-0.11152	-1.0227	0.28541	0.97932	0.30644	0.90162
ARHGAP26	10	-0.053701	-0.65193	0.60224	0.9961	0.51444	0.94163
FES	10	-0.0025614	-0.027119	0.96212	0.9965	0.97836	0.99869
SLC25A18	10	0.060922	0.74332	0.55833	0.9961	0.45729	0.92978
ARAF	10	-0.053649	-0.78817	0.60224	0.9961	0.4306	0.92978
SELP	10	0.15141	1.5581	0.13087	0.82609	0.1192	0.801
F9	10	-0.23769	-2.6636	0.030564	0.62393	0.0077306	0.49845
DRD4	10	-0.047215	-0.64952	0.64141	0.9961	0.516	0.94163
SLC13A3	10	-0.0034468	-0.06524	0.95523	0.9965	0.94798	0.99756
AKAP6	10	-0.14165	-1.1942	0.17563	0.86809	0.23238	0.87765
CRAT	10	0.011878	0.092404	0.93155	0.9965	0.92638	0.99649
ELSPBP1	10	-0.060578	-0.56293	0.55618	0.9961	0.57348	0.95942
TBCK	10	0.028083	0.27765	0.79466	0.9961	0.78128	0.97983
AMY2A	8	-0.094029	-0.72566	0.43392	0.9961	0.46805	0.92978
PIP	10	-0.18752	-1.5916	0.079208	0.77637	0.11148	0.78673
ABL1	10	-0.093131	-1.3674	0.37624	0.9961	0.17149	0.82859
KCNJ6	10	-0.10247	-1.1904	0.32845	0.9961	0.2339	0.87765
TRAPPC5	10	-0.087225	-0.57212	0.41025	0.9961	0.56724	0.95942
KCNJ8	10	0.054737	0.74675	0.60138	0.9961	0.45522	0.92978
OPRL1	10	0.097888	0.95229	0.3418	0.9961	0.34095	0.9042
CSAD	10	-0.016219	-0.207	0.85837	0.9961	0.83601	0.99419
MAPK11	10	0.091948	0.78374	0.37365	0.9961	0.43319	0.92978
PAICS	10	0.11449	0.77874	0.26216	0.95305	0.43614	0.92978
PTPN7	10	0.13024	1.5769	0.19802	0.8932	0.11483	0.7892
none	750	0	0	0.99182	0.99784	1	1
C1QB	10	0.022661	0.44205	0.83857	0.9961	0.65845	0.972
CHRNA5	10	-0.015173	-0.18499	0.86612	0.9961	0.85324	0.99498
GALM	10	-0.068419	-0.75277	0.50796	0.9961	0.45159	0.92978
CTSL	10	-0.14643	-2.0174	0.16315	0.86696	0.043657	0.67799
HRH3	10	-0.064748	-0.88178	0.5282	0.9961	0.3779	0.91538
PINK1	10	-0.06208	-0.71105	0.54498	0.9961	0.47705	0.93058
GK5	10	-0.023463	-0.21302	0.81059	0.9961	0.83131	0.99322
C9orf96	10	-0.026673	-0.2604	0.79036	0.9961	0.79456	0.98253
MAP2K4	10	-0.015097	-0.22604	0.86612	0.9961	0.82117	0.98979
OXTR	10	-0.080389	-1.2917	0.44554	0.9961	0.19646	0.84727
IL2RG	10	-0.00012977	-0.0014645	0.97848	0.9965	0.99883	1
LCTL	10	-0.099196	-1.6431	0.3461	0.9961	0.10037	0.75284
SIRPD	8	-0.007031	-0.10256	0.94102	0.9965	0.91831	0.99649
TMPRSS15	10	-0.14334	-1.2801	0.17133	0.86809	0.2005	0.85619
CDC7	10	-0.15589	-1.2665	0.13861	0.84131	0.20535	0.86343
CFB	14	-0.070071	-1.0031	0.42488	0.9961	0.31583	0.90162
GCDH	10	-0.1477	-1.6931	0.15885	0.86696	0.09044	0.74663
DAPK3	10	-0.095317	-1.0024	0.36246	0.9961	0.31615	0.90162
PNKP	10	-0.13887	-1.5591	0.18554	0.87247	0.11896	0.801
LRRK1	10	-0.016402	-0.25409	0.85751	0.9961	0.79943	0.98253
PTK7	10	-0.05244	-0.98764	0.60913	0.9961	0.32333	0.90162
TSSK2	10	-0.015373	-0.19276	0.86483	0.9961	0.84715	0.99498
PPP2R5B	10	0.1053	0.9122	0.30607	0.98795	0.36166	0.9132
PRKCH	10	-0.14549	-1.8647	0.1653	0.86696	0.062217	0.70695
PPP1R2	10	-0.36435	-2.7431	0.0017219	0.16129	0.0060859	0.47992
ADH1C	10	-0.091078	-1.1321	0.38657	0.9961	0.25759	0.87765
CHRM1	10	-0.15708	-1.9452	0.13474	0.83467	0.051752	0.70695
PTPN2	10	-0.061381	-0.3311	0.54972	0.9961	0.74057	0.97983
SEC14L3	10	-0.091908	-1.1648	0.38269	0.9961	0.2441	0.87765
RIOK3	10	0.13902	1.0338	0.16961	0.86809	0.30123	0.90162
PRKCQ	10	-0.0012668	-0.017805	0.96944	0.9965	0.98579	0.99869
ADORA1	10	-0.005878	-0.087867	0.93371	0.9965	0.92998	0.99649
MMP16	10	0.00017592	0.0022016	0.9802	0.9965	0.99824	1
SLC25A5	10	-0.026465	-0.3908	0.79122	0.9961	0.69595	0.97862
GABRD	10	-0.034811	-0.38587	0.72579	0.9961	0.69959	0.97862
KHK	10	-0.05649	-0.62163	0.57985	0.9961	0.53418	0.95016
HLA-DRB1	10	0.016733	0.13557	0.88635	0.9965	0.89216	0.99498
ACE	13	-0.064672	-0.85053	0.46621	0.9961	0.39503	0.92901
PPP1R15A	10	0.0060044	0.058755	0.97159	0.9965	0.95315	0.99869
ARL1	10	0.076876	0.68278	0.45502	0.9961	0.49474	0.93351
ALDH3A2	10	0.12392	1.239	0.21954	0.91577	0.21534	0.86446
MAPKAPK5	10	-0.066388	-0.62424	0.5183	0.9961	0.53247	0.94911
ROS1	10	0.064112	0.82514	0.53379	0.9961	0.40929	0.92978
CDKN1A	10	0.36303	2.9894	0.0012914	0.15789	0.0027957	0.47992
PTPRK	10	0.20761	2.7166	0.041326	0.65772	0.0065956	0.47992
GRM4	10	0.018196	0.16318	0.87215	0.9961	0.87038	0.99498
MCCC1	10	-0.045832	-0.52648	0.64959	0.9961	0.59855	0.95942
GCSH	10	0.2594	2.2371	0.012914	0.48387	0.025281	0.59321
MAP4K1	10	0.046175	0.44562	0.66638	0.9961	0.65587	0.97152
SDHA	10	0.085737	0.85281	0.4068	0.9961	0.39377	0.92865
FCER1A	10	0.039857	0.42892	0.70728	0.9961	0.66798	0.97862
MAP4K3	10	0.027427	0.32281	0.80112	0.9961	0.74684	0.97983
APRT	10	0.10277	1.0136	0.31769	0.98795	0.31078	0.90162
PPP5C	10	0.22826	2.2134	0.024968	0.60417	0.026869	0.60598
DMPK	10	-0.14648	-1.173	0.16315	0.86696	0.2408	0.87765
TLL2	10	0.16509	1.8013	0.10073	0.78477	0.07166	0.71296
PPP2R2C	10	-0.047488	-0.5235	0.63883	0.9961	0.60063	0.95942
DUSP22	10	0.16734	1.2918	0.095136	0.77817	0.19641	0.84727
EPS8L1	10	0.19971	2.3764	0.051227	0.68786	0.017484	0.54153
NR1H3	10	0.077838	0.50954	0.45028	0.9961	0.61037	0.95959
PPP1R3D	10	0.0015308	0.010643	0.98924	0.99784	0.99151	1
ADK	10	-0.18066	-1.5189	0.092553	0.77817	0.1288	0.8237
EGLN1	10	-0.28024	-2.5604	0.012914	0.48387	0.010454	0.50142
HIPK4	10	-0.19537	-1.8091	0.068446	0.73953	0.070437	0.71075
CDH5	10	-0.11785	-1.3368	0.25484	0.95305	0.18128	0.83494
NDUFAB1	10	-0.078727	-0.785	0.45329	0.9961	0.43245	0.92978
PPFIA4	10	0.092275	1.3144	0.37279	0.9961	0.18872	0.84388
NAGPA	10	0.18525	2.1172	0.065863	0.72857	0.034246	0.65747
TWF1	10	0.021973	0.33081	0.84503	0.9961	0.74079	0.97983
